Feature,Random Forest,Logistic Regression,Neural Network
Arsenal_Home,0.05911869784993487,0.02644793336425134,0.08684210526315794
attacking_strength,0.04575650822774877,0.13749734178507364,0.052631578947368585
avg_goals_conceded_last5,0.03939206473258546,0.009891527269901742,0.021052631578947434
avg_goals_scored_last5,0.04386819202361989,0.14511546457992117,-0.0052631578947369695
avg_points_last5,0.04335042710692304,0.3686089129078884,0.0736842105263158
avg_shots_against_last5,0.11062188391130384,0.09724461782148547,0.07105263157894748
avg_shots_last5,0.09376589522831373,0.06402219208186631,0.03684210526315801
avg_shots_target_against_last5,0.08057355517989695,0.046051549584096525,0.07894736842105265
avg_shots_target_last5,0.08489777980315699,0.12103870505334328,0.03421052631578958
defensive_strength,0.04544400768889698,0.009378801926614328,0.015789473684210575
form_points_last5,0.03763333149764986,0.2635176724111327,0.03421052631578947
goal_diff_last5,0.055518273946792866,0.19701031524316037,0.0552631578947369
historical_win_rate_vs_opponent,0.06291310503314307,0.01724229544578248,1.1102230246251565e-16
previous_meetings,0.07677930077647109,0.06755196388993262,1.1102230246251565e-16
shot_conversion_rate,0.09705548050708594,0.16580445509820876,0.026315789473684292
win_rate_last5,0.02331149648647683,0.09227406849535914,0.04210526315789487
